"","countrycode","year","gdppc","scenario"
"11346","SYC",1969,4580.785374,"Observed"
"11347","SYC",1970,5155.328237,"Observed"
"11348","SYC",1971,5761.032664,"Observed"
"11349","SYC",1972,5977.499937,"Observed"
"11350","SYC",1973,6501.357375,"Observed"
"11351","SYC",1974,6530.886453,"Observed"
"11352","SYC",1975,6656.825746,"Observed"
"11353","SYC",1976,7130.284726,"Observed"
"11354","SYC",1977,7786.665675,"Observed"
"11355","SYC",1978,9008.810263,"Observed"
"11356","SYC",1979,10165.23979,"Observed"
"11357","SYC",1980,9868.58839,"Observed"
"11358","SYC",1981,9353.55374,"Observed"
"11359","SYC",1982,9354.44353,"Observed"
"11360","SYC",1983,8830.725092,"Observed"
"11361","SYC",1984,9212.984429,"Observed"
"11362","SYC",1985,10080.11715,"Observed"
"11363","SYC",1986,10805.62103,"Observed"
"11364","SYC",1987,10174.06535,"Observed"
"11365","SYC",1988,10761.31736,"Observed"
"11366","SYC",1989,12223.75568,"Observed"
"11367","SYC",1990,13079.24126,"Observed"
"11368","SYC",1991,13273.609,"Observed"
"11369","SYC",1992,14478.54145,"Observed"
"11370","SYC",1993,15398.33556,"Observed"
"11371","SYC",1994,14953.70653,"Observed"
"11372","SYC",1995,14493.33817,"Observed"
"11373","SYC",1996,15406.11311,"Observed"
"11374","SYC",1997,16148.6927,"Observed"
"11375","SYC",1998,18293.29287,"Observed"
"11376","SYC",1999,17998.85383,"Observed"
"11377","SYC",2000,17466.20768,"Observed"
"11378","SYC",2001,19494.57051,"Observed"
"11379","SYC",2002,18170.25475,"Observed"
"11380","SYC",2003,16762.56631,"Observed"
"11381","SYC",2004,16473.95164,"Observed"
"11382","SYC",2005,22588.16951,"Observed"
"11383","SYC",2006,24150.89005,"Observed"
"11384","SYC",2007,26659.86472,"Observed"
"11385","SYC",2008,25907.00531,"Observed"
"11386","SYC",2009,23864.07091,"Observed"
"11387","SYR",1950,NA,"Observed"
"11388","SYR",1951,NA,"Observed"
"11389","SYR",1952,NA,"Observed"
"11390","SYR",1953,NA,"Observed"
"11391","SYR",1954,NA,"Observed"
"11392","SYR",1955,NA,"Observed"
"11393","SYR",1956,NA,"Observed"
"11394","SYR",1957,NA,"Observed"
"11395","SYR",1958,NA,"Observed"
"11396","SYR",1959,NA,"Observed"
"11397","SYR",1960,1605.271367,"Observed"
"11398","SYR",1961,1584.321474,"Observed"
"11399","SYR",1962,2109.282451,"Observed"
"11400","SYR",1963,1855.104809,"Observed"
"11401","SYR",1964,2069.831164,"Observed"
"11402","SYR",1965,2004.202755,"Observed"
"11403","SYR",1966,1794.864892,"Observed"
"11404","SYR",1967,1842.465646,"Observed"
"11405","SYR",1968,1864.303332,"Observed"
"11406","SYR",1969,2158.34733,"Observed"
"11407","SYR",1970,1833.024688,"Observed"
"11408","SYR",1971,1916.25997,"Observed"
"11409","SYR",1972,2313.330036,"Observed"
