"","countrycode","sptemp","cdd","cddeq","clim.max"
"355","CAF","22",1031,2192.45478374796,0.984270807936055
"356","CAN","22",31,159.321080115543,0.295507011532971
"357","CHE","22",6,90.3102727913076,0.198465040660484
"358","CHL","22",0,0,0.051
"359","CHN","22",345,954.921035305913,0.840872389419934
"360","CIV","22",1544,2964.87321487338,0.996289762514641
"361","CMR","22",989,2119.29165088766,0.981964655580612
"362","COD","22",831,1850.85522714583,0.970205925726748
"363","COG","22",1126,2359.40483761088,0.988488785290858
"364","COL","22",640,1525.26962668547,0.945229342870392
"365","COM","22",875,1924.81545429016,0.974054351723187
"366","CRI","22",809,1813.92084894925,0.968075401960157
"367","CYP","22",455,1182.80649340177,0.896086309458169
"368","CZE","22",15,115.160666801079,0.234860361090078
"369","DEU","22",19,126.203754010886,0.250498904929545
"370","DJI","22",1889,3273.85062729723,0.997918043398065
"371","DNK","22",0,0,0.051
"372","DOM","22",901,1968.70775368945,0.976098880491252
"373","DZA","22",355,976.668715182879,0.847213992097935
"374","ECU","22",907,1978.86743389029,0.976548682018025
"375","EGY","22",610,1472.1961913121,0.939514605609629
"376","ESP","22",147,474.600293578431,0.609313186856842
"377","EST","22",0,0,0.051
"378","ETH","22",262,765.138154135317,0.773079337864964
"379","FIN","22",0,0,0.051
"380","FJI","22",867,1911.34578686269,0.973392525377061
"381","FRA","22",41,186.895824021526,0.33091332706738
"382","GAB","22",1245,2563.38104611075,0.992139216822483
"383","GBR","22",0,0,0.051
"384","GEO","22",62,244.681915953853,0.399445367474122
"385","GHA","22",1849,3235.90983975249,0.997764963859295
"386","GIN","22",1253,2576.54662686739,0.992330383559526
"387","GMB","22",1711,3115.04893376726,0.997198185361439
"388","GNB","22",1664,3075.10329467537,0.996980879277309
"389","GNQ","22",913,1989.04047989224,0.976990593715593
"390","GRC","22",173,542.802922527433,0.656094354475646
"391","GTM","22",429,1131.02268854069,0.885520430925876
"392","GUY","22",1569,2989.46409270869,0.996456514152794
"393","HKG","22",825,1840.78306002766,0.969639437611289
"394","HND","22",733,1685.71302447942,0.959426082143835
"395","HRV","22",68,261.149712731394,0.41765745737869
"396","HTI","22",1065,2252.12585084371,0.985931567501947
"397","HUN","22",61,241.935145745036,0.396352706586492
"398","IDN","22",1614,3031.27566442317,0.996723016593303
"399","IND","22",1384,2775.35644351867,0.994711724241163
"400","IRL","22",0,0,0.051
"401","IRN","22",410,1092.42624601939,0.876952345099424
"402","IRQ","22",1012,2159.26384444254,0.983263609684818
"403","ISR","22",395,1061.47217561963,0.869619665352595
"404","ITA","22",113,383.684035731603,0.536910818674526
"405","JAM","22",1004,2145.33289637301,0.982821883411688
"406","JOR","22",398,1067.69831007573,0.871128864074501
"407","JPN","22",191,589.234802397029,0.684695222671748
"408","KAZ","22",134,440.047977854999,0.583236431070004
"409","KEN","22",411,1094.4743787589,0.877422717289834
"410","KGZ","22",30,156.562245586217,0.291863126356853
"411","KHM","22",1887,3271.91505345274,0.997910494053802
"412","KOR","22",186,576.405540661791,0.677039366665875
"413","KWT","22",1611,3028.57101094413,0.996706400603813
